,Ranking,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),avg player rating,avg player value (EU),avg player wage,Shots pg,Yellowcard,RedCard,Possession%,Pass%,AerialsWon,Country,Transfer Spend (Euros),MA
0,1,2014,Chelsea,87.0,73.0,32.0,23.76,183.42,77.3,73.27,0.0,0.0,14.8,73,4,54.1,83.2,18.6,England,123.93,113.33
1,2,2014,Manchester City,79.0,83.0,38.0,25.48,182.55,76.82,73.42,0.0,0.0,17.6,77,2,57.0,84.6,15.9,England,92.52,84.23
2,3,2014,Arsenal,75.0,71.0,36.0,23.82,181.21,73.0,74.18,0.0,0.0,16.1,68,2,55.7,83.8,19.8,England,107.09,67.27
3,4,2014,Manchester United,70.0,62.0,37.0,23.94,183.0,75.45,73.39,0.0,0.0,13.5,64,5,58.8,85.1,15.8,England,175.82000000000005,104.68
4,5,2014,Tottenham Hotspur,64.0,58.0,53.0,24.39,183.15,76.61,73.48,0.0,0.0,13.9,79,4,55.2,81.2,16.0,England,43.64,73.28
5,6,2014,Liverpool,62.0,52.0,48.0,23.42,180.27,73.85,73.06,0.0,0.0,15.5,66,3,54.3,82.8,14.9,England,136.29000000000002,84.04
6,7,2014,Southampton,60.0,54.0,33.0,23.12,182.48,76.09,68.91,0.0,0.0,13.4,57,3,51.9,79.7,16.9,England,86.4,53.13
7,8,2014,Swansea City,56.0,46.0,49.0,24.61,181.36,77.36,68.7,0.0,0.0,11.2,48,5,50.7,82.1,14.4,England,37.38,26.58
8,9,2014,Stoke City,54.0,48.0,45.0,25.45,185.33,78.18,70.09,0.0,0.0,13.2,82,1,50.2,77.5,24.4,England,1.62,9.75
9,10,2014,Crystal Palace,48.0,47.0,51.0,26.42,182.52,76.21,69.42,0.0,0.0,11.6,63,4,42.7,69.4,23.7,England,28.106,
10,11,2014,West Ham United,47.0,48.0,50.0,24.66,183.0,75.97,69.09,0.0,0.0,12.7,66,2,53.6,82.5,15.3,England,31.64,24.92
11,12,2014,Everton,47.0,44.0,47.0,25.33,180.67,75.55,72.36,0.0,0.0,12.9,64,2,46.7,74.6,22.9,England,36.14,28.08
12,13,2014,West Bromwich Albion,44.0,38.0,51.0,25.45,182.3,77.79,69.27,0.0,0.0,10.8,64,3,44.9,75.0,17.2,England,22.4,13.68
13,14,2014,Leicester City,41.0,46.0,55.0,25.03,181.85,75.76,66.45,0.0,0.0,12.0,50,4,44.8,71.1,23.4,England,20.57,
14,15,2014,Newcastle United,39.0,40.0,63.0,24.06,181.97,77.42,70.48,0.0,0.0,12.3,65,7,48.1,76.9,17.7,England,40.52,
15,16,2014,Aston Villa,38.0,31.0,53.0,24.41,182.47,76.03,69.47,0.0,0.0,10.7,94,2,46.2,76.1,15.3,England,12.105,
16,17,2014,Sunderland,38.0,31.0,57.0,23.85,182.33,76.0,68.03,0.0,0.0,11.0,70,7,49.1,79.0,18.4,England,20.26,28.42
17,18,2014,Hull City,35.0,33.0,51.0,25.39,182.15,77.18,68.91,0.0,0.0,11.3,73,6,45.5,76.5,21.9,England,43.41100000000001,
18,19,2014,Burnley,33.0,28.0,53.0,24.79,182.06,76.48,65.85,0.0,0.0,11.3,64,2,44.0,70.3,25.1,England,11.354,
19,20,2014,Queens Park Rangers,30.0,42.0,73.0,25.85,183.12,77.85,69.85,0.0,0.0,14.1,75,3,46.3,70.8,21.7,England,39.191,
20,1,2015,Leicester City,81.0,35.0,18.0,25.74,180.65,74.87,69.39,2496612.0,26581.0,13.7,48,3,44.7,70.5,18.8,England,44.91,
21,2,2015,Arsenal,71.0,31.0,11.0,24.44,181.12,72.78,74.44,12559062.0,82344.0,15.1,40,4,56.9,84.2,15.2,England,23.85,58.42
22,3,2015,Tottenham Hotspur,70.0,35.0,15.0,22.77,182.13,74.17,72.73,7761500.0,54067.0,17.3,72,0,55.3,80.5,14.3,England,63.89999999999999,72.61
23,4,2015,Manchester United,66.0,27.0,9.0,24.7,182.3,74.67,76.26,13582037.0,83333.0,16.2,61,0,55.2,83.1,15.7,England,140.39999999999998,128.55
24,5,2015,Manchester City,66.0,47.0,21.0,26.21,179.83,74.9,77.21,14970689.0,97034.0,11.3,65,1,55.8,82.3,13.1,England,187.376,128.1
25,6,2015,Southampton,63.0,39.0,22.0,24.35,181.97,76.26,72.06,4696129.0,34484.0,13.7,57,6,49.3,77.7,19.3,England,54.09,58.71
26,7,2015,West Ham United,62.0,34.0,26.0,24.13,182.61,75.9,70.45,4050161.0,36613.0,14.7,58,5,49.1,77.6,17.7,England,47.43,33.56
27,8,2015,Liverpool,60.0,33.0,22.0,24.19,181.07,75.15,76.11,10711111.0,78370.0,16.6,61,3,55.0,80.2,16.5,England,113.85,100.81
28,9,2015,Stoke City,51.0,22.0,24.0,26.96,184.61,78.82,73.86,5223928.0,42429.0,11.0,51,4,50.0,79.1,16.4,England,48.29,18.74
29,10,2015,Chelsea,50.0,32.0,30.0,24.07,183.04,76.46,76.32,17316071.0,102857.0,13.8,58,5,54.4,82.5,14.1,England,81.45,107.57
30,11,2015,Everton,47.0,35.0,30.0,25.75,181.07,75.14,74.36,6733928.0,53679.0,12.9,44,5,51.5,81.4,12.9,England,44.01,36.26
31,12,2015,Swansea City,47.0,20.0,20.0,25.77,181.9,77.17,72.07,4596666.0,37767.0,11.6,60,1,52.0,80.9,13.7,England,19.629,26.99
32,13,2015,Watford,45.0,20.0,19.0,26.86,183.39,78.54,71.32,2790178.0,32536.0,11.7,73,3,46.3,72.6,17.4,England,75.17999999999998,
33,14,2015,West Bromwich Albion,43.0,20.0,26.0,25.37,182.27,76.9,70.13,3350000.0,32033.0,10.2,65,3,42.3,70.0,19.1,England,38.61,25.05
34,15,2015,Bournemouth,42.0,23.0,34.0,25.79,182.0,77.69,69.9,2162758.0,23414.0,12.3,60,2,46.8,74.4,17.8,England,49.604000000000006,
35,16,2015,Crystal Palace,42.0,19.0,23.0,26.76,183.83,78.1,72.83,3330517.0,36828.0,12.2,53,1,51.0,79.8,15.3,England,25.92,27.91
36,17,2015,Sunderland,39.0,23.0,20.0,25.56,181.5,76.0,71.22,3335156.0,33688.0,11.6,64,2,43.3,71.0,17.3,England,59.45,36.75
37,18,2015,Newcastle United,37.0,32.0,24.0,24.67,181.9,77.43,72.8,4625000.0,44633.0,10.4,60,5,47.4,76.6,13.9,England,97.124,
38,19,2015,Norwich City,34.0,26.0,30.0,25.52,181.69,74.97,69.31,2149655.0,26069.0,11.0,61,3,46.5,73.6,17.4,England,39.47,
39,20,2015,Aston Villa,17.0,14.0,35.0,24.79,181.62,76.24,72.62,3918103.0,35793.0,10.0,75,3,47.3,77.8,19.1,England,59.895,
40,1,2016,Chelsea,93.0,55.0,17.0,24.27,183.18,77.12,75.55,15741818.0,63333.0,15.3,72,0,54.0,83.9,14.2,England,119.52,108.3
41,2,2016,Tottenham Hotspur,86.0,47.0,9.0,22.64,182.82,74.15,73.03,11726060.0,47485.0,17.6,62,0,57.4,82.5,15.0,England,75.14999999999998,60.9
42,3,2016,Manchester City,78.0,37.0,17.0,24.82,180.67,73.85,75.55,14637727.0,59333.0,16.7,71,4,60.9,85.5,15.4,England,193.5,157.8
43,4,2016,Liverpool,76.0,45.0,18.0,23.7,182.42,75.33,74.73,11576060.0,51091.0,16.8,54,0,58.3,82.4,17.3,England,71.91,107.35
44,5,2016,Arsenal,75.0,39.0,16.0,24.48,182.76,75.21,76.15,15521969.0,62545.0,14.9,68,3,56.5,83.8,16.7,England,101.736,77.56
45,6,2016,Manchester United,69.0,26.0,12.0,24.72,183.88,76.28,77.91,17663593.0,69531.0,15.6,78,2,55.0,84.2,16.4,England,166.5,160.91
46,7,2016,Everton,61.0,42.0,16.0,25.03,180.3,75.58,73.55,8146969.0,45364.0,13.2,72,2,51.5,79.0,17.5,England,77.39999999999998,52.52
47,8,2016,Southampton,46.0,17.0,21.0,24.21,180.76,75.7,71.94,5041060.0,18576.0,14.5,59,2,53.1,80.5,17.1,England,62.00999999999999,67.5
48,9,2016,Bournemouth,46.0,35.0,29.0,24.12,181.27,76.06,69.06,2993484.0,5758.0,11.9,52,3,51.3,81.3,14.4,England,36.626,
49,10,2016,West Bromwich Albion,45.0,27.0,22.0,24.56,184.06,76.97,68.59,3303281.0,13156.0,10.5,80,0,40.7,70.4,17.7,England,34.11,31.71
50,11,2016,West Ham United,45.0,19.0,31.0,24.12,182.48,75.85,72.55,7179242.0,44121.0,13.1,78,5,48.4,78.2,19.1,England,75.15,51.41
51,12,2016,Leicester City,44.0,31.0,25.0,24.7,181.88,74.58,71.52,6775000.0,20364.0,11.4,72,1,43.7,70.1,20.2,England,82.44000000000003,49.31
52,13,2016,Stoke City,44.0,24.0,24.0,26.21,183.64,77.12,72.73,6788939.0,22303.0,11.2,70,2,47.2,75.3,21.3,England,34.903,28.27
53,14,2016,Crystal Palace,41.0,24.0,25.0,25.42,183.91,77.36,71.27,5042575.0,19455.0,11.6,77,0,46.7,73.4,22.0,England,91.17,48.4
54,15,2016,Swansea City,41.0,27.0,34.0,24.79,182.7,75.79,70.85,4705757.0,18848.0,10.7,56,0,48.3,78.9,17.8,England,52.29,36.43
55,16,2016,Burnley,40.0,26.0,20.0,23.94,183.09,75.73,66.15,1906818.0,5242.0,10.3,65,2,42.7,67.8,24.0,England,41.03999999999999,
56,17,2016,Watford,40.0,25.0,29.0,26.03,183.61,80.09,71.61,4477272.0,8818.0,11.1,84,5,47.0,74.0,19.1,England,63.41499999999999,
57,18,2016,Hull City,34.0,28.0,35.0,25.12,182.48,76.79,68.7,2543787.0,5970.0,10.4,67,5,46.7,77.4,15.5,England,36.00000000000001,
58,19,2016,Middlesbrough,28.0,17.0,23.0,25.3,182.42,75.67,69.76,3287727.0,6727.0,9.2,77,1,47.9,77.3,20.3,England,43.16,
59,20,2016,Sunderland,24.0,16.0,34.0,24.09,181.24,74.91,70.67,3739545.0,13212.0,10.2,78,4,42.8,72.6,16.2,England,37.72,39.14
60,1,2017,Manchester City,100.0,61.0,14.0,23.48,181.67,74.15,74.12,17536818.0,95667.0,17.5,59,2,66.4,89.0,13.8,England,285.75,222.21
61,2,2017,Manchester United,81.0,38.0,9.0,24.64,184.45,75.82,77.67,18503787.0,107788.0,13.5,64,1,53.9,83.6,16.6,England,178.56,161.82
62,3,2017,Tottenham Hotspur,77.0,40.0,16.0,23.39,183.18,78.03,73.52,15938030.0,68788.0,16.4,50,2,58.8,83.8,16.3,England,109.35,82.8
63,4,2017,Liverpool,75.0,45.0,10.0,24.09,181.18,74.88,75.91,14128030.0,83394.0,16.8,44,1,58.0,83.8,15.7,England,156.495,114.08
64,5,2017,Chelsea,70.0,30.0,16.0,24.39,182.06,77.09,76.52,20360909.0,107424.0,15.9,42,4,54.4,84.3,16.2,England,234.45,145.14
65,6,2017,Arsenal,63.0,54.0,20.0,24.73,181.12,74.73,75.76,15453030.0,91121.0,15.6,57,2,58.5,84.3,17.0,England,137.57,87.72
66,7,2017,Burnley,54.0,16.0,17.0,25.18,181.33,74.39,68.58,3971666.0,32697.0,9.9,65,0,45.1,70.5,25.2,England,32.166,
67,8,2017,Everton,49.0,28.0,22.0,25.18,180.91,75.27,74.73,10062121.0,75727.0,9.4,51,3,46.7,74.3,20.4,England,182.88,101.43
68,9,2017,Leicester City,47.0,25.0,22.0,25.15,183.21,80.3,72.18,7160151.0,45000.0,11.1,52,5,48.3,74.7,20.9,England,79.38,68.91
69,10,2017,Crystal Palace,44.0,29.0,27.0,25.24,183.21,76.03,70.58,5480454.0,35242.0,11.9,52,2,43.8,72.3,23.8,England,44.06,53.72
70,11,2017,Newcastle United,44.0,21.0,17.0,24.06,182.15,75.48,70.79,4879242.0,39848.0,12.5,72,0,46.9,75.4,20.2,England,41.85,
71,12,2017,Bournemouth,44.0,26.0,30.0,24.88,181.58,75.79,70.15,4161515.0,38273.0,12.2,55,1,48.5,77.0,19.0,England,30.87,39.03
72,13,2017,West Ham United,42.0,24.0,26.0,24.52,182.64,75.03,71.48,6894242.0,61818.0,9.8,73,2,46.4,75.5,19.8,England,51.12000000000001,57.9
73,14,2017,Watford,41.0,27.0,31.0,26.33,183.76,80.06,74.18,6571969.0,40848.0,11.6,63,4,49.3,75.5,22.6,England,64.26,67.62
74,15,2017,Brighton & Hove Albion,40.0,24.0,25.0,25.94,181.58,76.48,70.33,3647272.0,30788.0,10.1,54,2,45.1,74.9,21.4,England,60.3,
75,16,2017,Huddersfield Town,37.0,16.0,25.0,24.36,184.64,77.39,66.88,2671363.0,23273.0,9.5,62,3,46.4,74.0,21.2,England,51.08,
76,17,2017,Southampton,36.0,20.0,26.0,24.21,181.82,75.12,71.88,7053636.0,51182.0,11.8,63,2,51.0,77.5,18.5,England,55.13,57.08
77,18,2017,Stoke City,33.0,20.0,30.0,24.79,184.0,77.21,70.64,6050454.0,41909.0,8.9,51,1,46.0,78.2,18.5,England,51.93,45.04
78,19,2017,Swansea City,33.0,17.0,24.0,25.3,182.82,78.42,71.24,5102272.0,43879.0,10.1,62,1,43.7,71.5,26.0,England,66.047,45.99
79,20,2017,West Bromwich Albion,31.0,21.0,29.0,25.87,184.73,77.47,70.33,5029833.0,43800.0,9.9,73,1,42.8,72.4,21.1,England,48.15,40.29
80,1,2018,Manchester City,98.0,57.0,12.0,24.09,180.45,74.12,76.85,22951363.0,112758.0,18.0,44,1,64.0,89.0,14.3,England,70.73100000000002,183.33
81,2,2018,Liverpool,97.0,55.0,10.0,24.0,180.48,73.18,76.0,18015303.0,88212.0,15.1,37,2,58.8,84.4,16.0,England,163.98,130.79
82,3,2018,Chelsea,72.0,39.0,12.0,25.21,182.82,77.0,76.79,18798787.0,98970.0,16.0,49,0,59.9,87.6,14.0,England,187.92,180.63
83,4,2018,Tottenham Hotspur,71.0,34.0,16.0,24.48,183.06,77.7,75.97,18203333.0,76606.0,14.1,56,3,56.7,83.2,16.1,England,0.0,61.5
84,5,2018,Arsenal,70.0,42.0,16.0,24.61,182.97,75.48,74.79,12470909.0,76182.0,12.3,72,2,56.1,83.3,14.9,England,72.14,103.82
85,6,2018,Manchester United,66.0,33.0,25.0,24.76,183.21,75.36,77.45,19016666.0,106727.0,13.8,73,4,53.3,82.3,18.3,England,74.43,139.83
86,7,2018,Wolverhampton Wanderers,57.0,28.0,21.0,22.97,182.42,78.45,68.64,5249090.0,28364.0,12.6,72,1,47.4,78.2,21.6,England,101.03000000000002,
87,8,2018,Everton,54.0,30.0,21.0,24.21,182.45,75.73,73.94,8438181.0,59606.0,13.1,55,4,51.0,77.3,23.5,England,89.83,116.7
88,9,2018,Leicester City,52.0,24.0,20.0,25.64,181.94,78.3,73.97,7597727.0,44758.0,13.6,57,5,50.8,79.2,21.5,England,103.13999999999996,88.32
89,10,2018,West Ham United,52.0,32.0,27.0,25.61,181.94,75.64,72.91,7811060.0,53394.0,11.6,59,1,49.0,78.7,16.9,England,90.81,72.36
90,11,2018,Watford,50.0,26.0,28.0,26.06,184.64,80.3,72.76,5983636.0,35939.0,11.5,77,4,47.4,76.1,20.3,England,27.1,51.59
91,12,2018,Crystal Palace,49.0,19.0,23.0,25.21,183.42,75.06,71.12,5714696.0,32606.0,13.0,58,2,46.6,76.8,18.1,England,10.670000000000002,48.63
92,13,2018,Bournemouth,45.0,30.0,25.0,24.42,181.33,74.48,69.82,4545757.0,32364.0,11.7,57,2,42.9,72.9,21.2,England,80.19,49.23
93,14,2018,Newcastle United,45.0,24.0,25.0,24.67,182.76,79.12,70.97,5371818.0,29424.0,11.7,60,1,47.7,78.1,18.8,England,53.78000000000001,
94,15,2018,Burnley,40.0,24.0,32.0,25.76,182.91,77.27,70.94,5955303.0,34848.0,9.5,75,1,43.4,70.3,27.6,England,29.70000000000001,
95,16,2018,Southampton,39.0,27.0,30.0,23.73,183.39,75.79,71.42,5977121.0,30152.0,12.7,71,3,45.4,74.0,20.4,England,56.03,57.72
96,17,2018,Brighton & Hove Albion,36.0,19.0,28.0,25.39,181.88,76.64,71.24,4984545.0,28879.0,9.8,60,4,44.1,74.8,22.0,England,79.854,
97,18,2018,Cardiff City,34.0,21.0,38.0,26.21,182.21,76.42,68.27,2700151.0,23030.0,11.0,66,1,39.1,63.9,25.8,England,46.09,
98,19,2018,Fulham,26.0,22.0,36.0,23.39,181.52,75.91,69.91,5670757.0,30606.0,11.9,68,2,49.2,80.3,19.7,England,104.86,
99,20,2018,Huddersfield Town,16.0,10.0,31.0,23.55,183.91,75.82,69.09,4146818.0,23970.0,10.6,55,4,47.1,75.8,22.6,England,45.63,
100,1,2019,Liverpool,99.0,85.0,33.0,24.48,181.21,73.39,75.85,21008030.0,80818.0,15.6,38,1,59.6,84.3,17.6,England,9.36,109.94
101,2,2019,Manchester City,81.0,102.0,35.0,24.33,179.82,72.97,77.0,25628636.0,120727.0,19.6,60,4,62.6,89.3,13.6,England,150.14,168.87
102,3,2019,Manchester United,66.0,66.0,36.0,24.82,183.55,74.97,76.85,15202272.0,87091.0,14.3,73,0,54.6,83.6,15.0,England,192.6,148.53
103,4,2019,Chelsea,66.0,69.0,54.0,24.76,183.18,79.0,77.06,15302121.0,85030.0,16.4,60,0,57.9,85.2,18.7,England,40.5,154.29
104,5,2019,Leicester City,62.0,67.0,41.0,25.52,181.42,76.88,74.36,8232575.0,53000.0,14.2,41,3,55.1,82.8,17.8,England,93.87,92.13
105,6,2019,Tottenham Hotspur,59.0,61.0,47.0,23.88,181.79,76.85,76.48,19692424.0,78879.0,11.7,82,3,51.5,81.4,17.1,England,133.65000000000003,81.0
106,7,2019,Wolverhampton Wanderers,59.0,51.0,40.0,23.76,183.36,77.82,70.45,7016666.0,41970.0,12.1,57,2,48.7,79.2,20.7,England,109.62,
107,8,2019,Arsenal,56.0,56.0,48.0,23.85,182.48,75.76,75.06,13783636.0,61394.0,10.7,86,5,52.9,83.6,13.5,England,144.36,118.02
108,9,2019,Burnley,54.0,43.0,50.0,26.09,182.88,77.85,71.3,5392121.0,23939.0,9.3,61,2,44.4,74.4,25.3,England,17.47,
109,10,2019,Sheffield United,54.0,39.0,39.0,26.21,182.58,76.39,68.88,2932424.0,17909.0,10.2,67,0,43.9,70.0,25.5,England,64.35,
110,11,2019,Southampton,52.0,51.0,60.0,24.3,182.88,75.12,72.24,6386666.0,33273.0,13.1,53,4,49.2,73.4,21.7,England,52.74,54.63
111,12,2019,Everton,49.0,44.0,56.0,25.42,183.58,76.55,75.12,9732575.0,56606.0,12.3,70,3,49.0,78.0,23.1,England,108.9,127.2
112,13,2019,Newcastle United,44.0,38.0,58.0,25.97,181.36,77.45,73.33,6959545.0,29394.0,10.5,66,3,41.8,75.3,19.8,England,65.61,
113,14,2019,Crystal Palace,43.0,31.0,50.0,25.97,184.39,76.82,70.79,5760000.0,33939.0,9.9,62,2,46.4,76.5,20.8,England,6.84,20.52
114,15,2019,Brighton & Hove Albion,41.0,39.0,54.0,25.82,182.3,77.18,72.39,6023939.0,32061.0,12.2,57,2,51.7,81.0,18.7,England,67.45,69.2
115,16,2019,West Ham United,39.0,49.0,62.0,26.0,181.15,75.64,72.58,8412575.0,52939.0,11.0,62,1,45.4,76.1,22.9,England,108.18,83.37
116,17,2019,Aston Villa,35.0,41.0,67.0,24.42,183.7,77.64,69.18,4629090.0,28939.0,12.0,68,1,45.7,76.9,19.0,England,143.19,
117,18,2019,Bournemouth,34.0,40.0,65.0,24.76,183.09,76.09,72.3,6521515.0,38061.0,10.2,74,3,45.6,75.4,21.1,England,50.81,53.96
118,19,2019,Watford,34.0,36.0,64.0,27.0,184.55,79.88,75.0,7257424.0,47788.0,11.2,76,3,44.3,73.5,21.9,England,43.2,44.85
119,20,2019,Norwich City,21.0,26.0,75.0,24.36,183.58,76.03,69.33,3599393.0,23333.0,10.8,68,3,49.8,80.5,14.1,England,7.939000000000001,
120,1,2020,Liverpool,28.0,29.0,19.0,,,,,,,15.6,10,0,59.2,86.1,12.2,England,,
121,2,2020,Tottenham,25.0,25.0,12.0,,,,,,,11.3,16,0,48.9,80.4,16.2,England,,
122,3,2020,Southampton,24.0,25.0,18.0,,,,,,,11.3,19,0,54.1,79.9,16.4,England,,
123,4,2020,Leicester,24.0,24.0,17.0,,,,,,,11.1,28,0,53.0,82.6,14.3,England,,
124,5,2020,Everton,23.0,23.0,18.0,,,,,,,11.5,21,2,49.6,83.1,15.8,England,,
125,6,2020,Manchester United,23.0,22.0,19.0,,,,,,,13.7,19,1,53.3,84.2,15.5,England,,
126,7,2020,Chelsea,22.0,26.0,14.0,,,,,,,13.7,16,1,57.3,86.3,14.8,England,,
127,8,2020,West Ham,21.0,21.0,16.0,,,,,,,12.7,18,0,43.0,78.0,20.9,England,,
128,9,2020,Manchester City,20.0,18.0,12.0,,,,,,,16.2,17,0,60.6,88.2,13.0,England,,
129,10,2020,Wolverhampton Wanderers,20.0,13.0,17.0,,,,,,,12.3,18,1,48.1,82.3,17.2,England,,
130,11,2020,Aston Villa,19.0,21.0,13.0,,,,,,,15.9,23,1,50.2,77.7,21.5,England,,
131,12,2020,Crystal Palace,18.0,19.0,18.0,,,,,,,10.5,18,2,44.0,77.8,17.2,England,,
132,13,2020,Leeds,17.0,22.0,24.0,,,,,,,15.3,22,0,57.2,82.4,14.1,England,,
133,14,2020,Newcastle United,17.0,16.0,21.0,,,,,,,9.0,24,0,42.2,75.8,18.0,England,,
